"zone","value","timestep","severity","forest","km2","mortality"
1,184,2003,"low",153160,11165.364,0.00120135805693393
4,1040,2003,"low",17786,1296.5994,0.0584729562577308
5,59364,2003,"low",590242,43028.6418,0.100575696070425
6,3343,2003,"low",496857,36220.8753,0.00672829405643877
7,5,2003,"low",4950,360.855,0.00101010101010101
8,33802,2003,"low",161224,11753.2296,0.209658611621099
9,36351,2003,"low",167063,12178.8927,0.217588574370148
13,10469,2003,"low",63622,4638.0438,0.164549998428217
14,8431,2003,"low",63529,4631.2641,0.132711045349368
78,4423,2003,"low",395085,28801.6965,0.0111950592910386
80,1003,2003,"low",24089,1756.0881,0.0416372618207481
81,1148,2003,"low",3296,240.2784,0.348300970873786
1,1,2003,"medium",153160,11165.364,6.5291198746409e-06
4,0,2003,"medium",17786,1296.5994,0
5,803,2003,"medium",590242,43028.6418,0.00136045893040482
6,37,2003,"medium",496857,36220.8753,7.44681065175694e-05
7,0,2003,"medium",4950,360.855,0
8,399,2003,"medium",161224,11753.2296,0.00247481764501563
9,481,2003,"medium",167063,12178.8927,0.00287915337327834
13,0,2003,"medium",63622,4638.0438,0
14,0,2003,"medium",63529,4631.2641,0
78,2490,2003,"medium",395085,28801.6965,0.0063024412468203
80,10,2003,"medium",24089,1756.0881,0.000415127236497987
81,0,2003,"medium",3296,240.2784,0
1,0,2003,"high",153160,11165.364,0
4,0,2003,"high",17786,1296.5994,0
5,129,2003,"high",590242,43028.6418,0.000218554423439877
6,0,2003,"high",496857,36220.8753,0
7,0,2003,"high",4950,360.855,0
8,0,2003,"high",161224,11753.2296,0
9,13,2003,"high",167063,12178.8927,7.78149560345498e-05
13,0,2003,"high",63622,4638.0438,0
14,0,2003,"high",63529,4631.2641,0
78,228,2003,"high",395085,28801.6965,0.000577091005732944
80,0,2003,"high",24089,1756.0881,0
81,0,2003,"high",3296,240.2784,0
