"zone","value","timestep","severity","forest","km2","mortality"
1,1416,2008,"low",153160,11165.364,0.00924523374249151
4,408,2008,"low",17786,1296.5994,0.022939390531879
5,4668,2008,"low",590242,43028.6418,0.00790862053191742
6,826,2008,"low",496857,36220.8753,0.00166245016171655
7,0,2008,"low",4950,360.855,0
8,177,2008,"low",161224,11753.2296,0.00109785143651069
9,1037,2008,"low",167063,12178.8927,0.00620723918521755
13,236,2008,"low",63622,4638.0438,0.00370940869510547
14,25,2008,"low",63529,4631.2641,0.000393521069118041
78,2389,2008,"low",395085,28801.6965,0.00604680005568422
80,19,2008,"low",24089,1756.0881,0.000788741749346175
81,0,2008,"low",3296,240.2784,0
1,0,2008,"medium",153160,11165.364,0
4,12,2008,"medium",17786,1296.5994,0.000674687956819971
5,14,2008,"medium",590242,43028.6418,2.37190847144053e-05
6,13,2008,"medium",496857,36220.8753,2.61644698575244e-05
7,0,2008,"medium",4950,360.855,0
8,0,2008,"medium",161224,11753.2296,0
9,213,2008,"medium",167063,12178.8927,0.00127496812579686
13,0,2008,"medium",63622,4638.0438,0
14,0,2008,"medium",63529,4631.2641,0
78,112,2008,"medium",395085,28801.6965,0.000283483301061797
80,0,2008,"medium",24089,1756.0881,0
81,0,2008,"medium",3296,240.2784,0
1,3,2008,"high",153160,11165.364,1.95873596239227e-05
4,0,2008,"high",17786,1296.5994,0
5,8,2008,"high",590242,43028.6418,1.35537626939459e-05
6,6,2008,"high",496857,36220.8753,1.20759091650113e-05
7,0,2008,"high",4950,360.855,0
8,0,2008,"high",161224,11753.2296,0
9,159,2008,"high",167063,12178.8927,0.000951736769961033
13,0,2008,"high",63622,4638.0438,0
14,0,2008,"high",63529,4631.2641,0
78,1,2008,"high",395085,28801.6965,2.53110090233747e-06
80,0,2008,"high",24089,1756.0881,0
81,0,2008,"high",3296,240.2784,0
