"zone","value","timestep","severity","forest","km2","mortality"
1,115,2004,"low",153160,11165.364,0.000750848785583703
4,785,2004,"low",17786,1296.5994,0.0441358371753064
5,46793,2004,"low",590242,43028.6418,0.0792776522172262
6,826,2004,"low",496857,36220.8753,0.00166245016171655
7,0,2004,"low",4950,360.855,0
8,3204,2004,"low",161224,11753.2296,0.0198729717659902
9,21497,2004,"low",167063,12178.8927,0.128676008451901
13,4710,2004,"low",63622,4638.0438,0.074030995567571
14,151,2004,"low",63529,4631.2641,0.00237686725747297
78,6182,2004,"low",395085,28801.6965,0.0156472657782502
80,772,2004,"low",24089,1756.0881,0.0320478226576446
81,0,2004,"low",3296,240.2784,0
1,0,2004,"medium",153160,11165.364,0
4,195,2004,"medium",17786,1296.5994,0.0109636792983245
5,1810,2004,"medium",590242,43028.6418,0.00306653880950525
6,155,2004,"medium",496857,36220.8753,0.000311960986762791
7,0,2004,"medium",4950,360.855,0
8,74,2004,"medium",161224,11753.2296,0.000458988736168312
9,236,2004,"medium",167063,12178.8927,0.00141264074031952
13,1347,2004,"medium",63622,4638.0438,0.0211719216623181
14,5,2004,"medium",63529,4631.2641,7.87042138236081e-05
78,488,2004,"medium",395085,28801.6965,0.00123517724034069
80,0,2004,"medium",24089,1756.0881,0
81,0,2004,"medium",3296,240.2784,0
1,0,2004,"high",153160,11165.364,0
4,54,2004,"high",17786,1296.5994,0.00303609580568987
5,2283,2004,"high",590242,43028.6418,0.0038679050287848
6,71,2004,"high",496857,36220.8753,0.000142898258452633
7,0,2004,"high",4950,360.855,0
8,92.02000046,2004,"high",161224,11753.2296,0.000570758698828959
9,165,2004,"high",167063,12178.8927,0.000987651365053902
13,258,2004,"high",63622,4638.0438,0.00405520103108988
14,0,2004,"high",63529,4631.2641,0
78,32,2004,"high",395085,28801.6965,8.09952288747991e-05
80,0,2004,"high",24089,1756.0881,0
81,0,2004,"high",3296,240.2784,0
