"zone","value","timestep","severity","forest","km2","mortality"
1,1046,2011,"low",153160,11165.364,0.00682945938887438
4,820,2011,"low",17786,1296.5994,0.0461036770493647
5,12014,2011,"low",590242,43028.6418,0.0203543631256332
6,737,2011,"low",496857,36220.8753,0.00148332417576888
7,0,2011,"low",4950,360.855,0
8,795,2011,"low",161224,11753.2296,0.00493102763856498
9,5581,2011,"low",167063,12178.8927,0.0334065592022171
13,142,2011,"low",63622,4638.0438,0.00223193235044481
14,2,2011,"low",63529,4631.2641,3.14816855294432e-05
78,6767,2011,"low",395085,28801.6965,0.0171279598061177
80,107,2011,"low",24089,1756.0881,0.00444186143052846
81,0,2011,"low",3296,240.2784,0
1,42,2011,"medium",153160,11165.364,0.000274223034734918
4,149,2011,"medium",17786,1296.5994,0.00837737546384797
5,457,2011,"medium",590242,43028.6418,0.000774258693891658
6,0,2011,"medium",496857,36220.8753,0
7,0,2011,"medium",4950,360.855,0
8,1,2011,"medium",161224,11753.2296,6.20255048876098e-06
9,305,2011,"medium",167063,12178.8927,0.00182565858388752
13,5,2011,"medium",63622,4638.0438,7.85891672691836e-05
14,0,2011,"medium",63529,4631.2641,0
78,130,2011,"medium",395085,28801.6965,0.000329043117303871
80,0,2011,"medium",24089,1756.0881,0
81,0,2011,"medium",3296,240.2784,0
1,12,2011,"high",153160,11165.364,7.83494384956908e-05
4,460.006630357,2011,"high",17786,1296.5994,0.0258634111299337
5,192.0090049392,2011,"high",590242,43028.6418,0.000325305561005825
6,8,2011,"high",496857,36220.8753,1.6101212220015e-05
7,0,2011,"high",4950,360.855,0
8,35,2011,"high",161224,11753.2296,0.000217089267106634
9,885.022954512,2011,"high",167063,12178.8927,0.00529754017653221
13,9,2011,"high",63622,4638.0438,0.00014146050108453
14,0,2011,"high",63529,4631.2641,0
78,3,2011,"high",395085,28801.6965,7.59330270701241e-06
80,0,2011,"high",24089,1756.0881,0
81,0,2011,"high",3296,240.2784,0
