"zone","value","timestep","severity","forest","km2","mortality"
1,4008,2012,"low",153160,11165.364,0.0261687124575607
4,682,2012,"low",17786,1296.5994,0.038344765545935
5,9155,2012,"low",590242,43028.6418,0.0155105871828843
6,1300,2012,"low",496857,36220.8753,0.00261644698575244
7,0,2012,"low",4950,360.855,0
8,459,2012,"low",161224,11753.2296,0.00284697067434129
9,4991,2012,"low",167063,12178.8927,0.0298749573514183
13,328,2012,"low",63622,4638.0438,0.00515544937285844
14,10,2012,"low",63529,4631.2641,0.000157408427647216
78,5697,2012,"low",395085,28801.6965,0.0144196818406166
80,57,2012,"low",24089,1756.0881,0.00236622524803852
81,1,2012,"low",3296,240.2784,0.000303398058252427
1,283,2012,"medium",153160,11165.364,0.00184774092452337
4,83,2012,"medium",17786,1296.5994,0.00466659170133813
5,447,2012,"medium",590242,43028.6418,0.000757316490524226
6,242,2012,"medium",496857,36220.8753,0.000487061669655454
7,0,2012,"medium",4950,360.855,0
8,2,2012,"medium",161224,11753.2296,1.2405100977522e-05
9,193,2012,"medium",167063,12178.8927,0.00115525280882062
13,11,2012,"medium",63622,4638.0438,0.000172896167992204
14,4,2012,"medium",63529,4631.2641,6.29633710588865e-05
78,109,2012,"medium",395085,28801.6965,0.000275889998354784
80,3,2012,"medium",24089,1756.0881,0.000124538170949396
81,0,2012,"medium",3296,240.2784,0
1,64,2012,"high",153160,11165.364,0.000417863671977017
4,0,2012,"high",17786,1296.5994,0
5,275.441264439,2012,"high",590242,43028.6418,0.000466658191790825
6,84,2012,"high",496857,36220.8753,0.000169062728310158
7,0,2012,"high",4950,360.855,0
8,0,2012,"high",161224,11753.2296,0
9,86,2012,"high",167063,12178.8927,0.000514775862997791
13,0,2012,"high",63622,4638.0438,0
14,0,2012,"high",63529,4631.2641,0
78,1,2012,"high",395085,28801.6965,2.53110090233747e-06
80,0,2012,"high",24089,1756.0881,0
81,0,2012,"high",3296,240.2784,0
