"zone","value","timestep","severity","forest","km2","mortality"
1,2744,2013,"low",153160,11165.364,0.0179159049360146
4,499,2013,"low",17786,1296.5994,0.0280557742044305
5,10223,2013,"low",590242,43028.6418,0.0173200145025261
6,2692,2013,"low",496857,36220.8753,0.00541805791203505
7,16,2013,"low",4950,360.855,0.00323232323232323
8,491,2013,"low",161224,11753.2296,0.00304545228998164
9,4868,2013,"low",167063,12178.8927,0.0291387081520145
13,377,2013,"low",63622,4638.0438,0.00592562321209645
14,91,2013,"low",63529,4631.2641,0.00143241669158967
78,3151,2013,"low",395085,28801.6965,0.00797549894326537
80,85,2013,"low",24089,1756.0881,0.00352858151023289
81,0,2013,"low",3296,240.2784,0
1,94,2013,"medium",153160,11165.364,0.000613737268216244
4,4,2013,"medium",17786,1296.5994,0.000224895985606657
5,165,2013,"medium",590242,43028.6418,0.000279546355562634
6,225,2013,"medium",496857,36220.8753,0.000452846593687922
7,0,2013,"medium",4950,360.855,0
8,114,2013,"medium",161224,11753.2296,0.000707090755718752
9,86,2013,"medium",167063,12178.8927,0.000514775862997791
13,1,2013,"medium",63622,4638.0438,1.57178334538367e-05
14,0,2013,"medium",63529,4631.2641,0
78,40,2013,"medium",395085,28801.6965,0.000101244036093499
80,3,2013,"medium",24089,1756.0881,0.000124538170949396
81,0,2013,"medium",3296,240.2784,0
1,11,2013,"high",153160,11165.364,7.18203186210499e-05
4,16,2013,"high",17786,1296.5994,0.000899583942426628
5,47,2013,"high",590242,43028.6418,7.9628355826932e-05
6,23,2013,"high",496857,36220.8753,4.62909851325432e-05
7,0,2013,"high",4950,360.855,0
8,0,2013,"high",161224,11753.2296,0
9,29,2013,"high",167063,12178.8927,0.000173587209615534
13,1,2013,"high",63622,4638.0438,1.57178334538367e-05
14,0,2013,"high",63529,4631.2641,0
78,0,2013,"high",395085,28801.6965,0
80,0,2013,"high",24089,1756.0881,0
81,0,2013,"high",3296,240.2784,0
