"zone","value","timestep","severity","forest","km2","mortality"
1,2904,2007,"low",153160,11165.364,0.0189605641159572
4,404,2007,"low",17786,1296.5994,0.0227144945462723
5,7113,2007,"low",590242,43028.6418,0.0120509892552546
6,1298,2007,"low",496857,36220.8753,0.00261242168269744
7,0,2007,"low",4950,360.855,0
8,76,2007,"low",161224,11753.2296,0.000471393837145834
9,1782,2007,"low",167063,12178.8927,0.0106666347425821
13,142,2007,"low",63622,4638.0438,0.00223193235044481
14,0,2007,"low",63529,4631.2641,0
78,1471,2007,"low",395085,28801.6965,0.00372324942733842
80,46,2007,"low",24089,1756.0881,0.00190958528789074
81,0,2007,"low",3296,240.2784,0
1,443,2007,"medium",153160,11165.364,0.00289240010446592
4,0,2007,"medium",17786,1296.5994,0
5,119,2007,"medium",590242,43028.6418,0.000201612220072445
6,210,2007,"medium",496857,36220.8753,0.000422656820775394
7,0,2007,"medium",4950,360.855,0
8,2,2007,"medium",161224,11753.2296,1.2405100977522e-05
9,41,2007,"medium",167063,12178.8927,0.000245416399801273
13,0,2007,"medium",63622,4638.0438,0
14,0,2007,"medium",63529,4631.2641,0
78,6,2007,"medium",395085,28801.6965,1.51866054140248e-05
80,1,2007,"medium",24089,1756.0881,4.15127236497987e-05
81,0,2007,"medium",3296,240.2784,0
1,359,2007,"high",153160,11165.364,0.00234395403499608
4,0,2007,"high",17786,1296.5994,0
5,13,2007,"high",590242,43028.6418,2.2024864377662e-05
6,142,2007,"high",496857,36220.8753,0.000285796516905267
7,0,2007,"high",4950,360.855,0
8,0,2007,"high",161224,11753.2296,0
9,130,2007,"high",167063,12178.8927,0.000778149560345498
13,0,2007,"high",63622,4638.0438,0
14,0,2007,"high",63529,4631.2641,0
78,3,2007,"high",395085,28801.6965,7.59330270701241e-06
80,0,2007,"high",24089,1756.0881,0
81,0,2007,"high",3296,240.2784,0
