"zone","value","timestep","severity","forest","km2","mortality"
1,2612,2006,"low",153160,11165.364,0.017054061112562
4,290,2006,"low",17786,1296.5994,0.0163049589564826
5,12194,2006,"low",590242,43028.6418,0.020659322786247
6,2043,2006,"low",496857,36220.8753,0.00411184707068634
7,0,2006,"low",4950,360.855,0
8,260,2006,"low",161224,11753.2296,0.00161266312707785
9,2470,2006,"low",167063,12178.8927,0.0147848416465645
13,219,2006,"low",63622,4638.0438,0.00344220552639024
14,5,2006,"low",63529,4631.2641,7.87042138236081e-05
78,1652,2006,"low",395085,28801.6965,0.0041813786906615
80,118,2006,"low",24089,1756.0881,0.00489850139067624
81,0,2006,"low",3296,240.2784,0
1,109,2006,"medium",153160,11165.364,0.000711674066335858
4,16,2006,"medium",17786,1296.5994,0.000899583942426628
5,1,2006,"medium",590242,43028.6418,1.69422033674323e-06
6,51,2006,"medium",496857,36220.8753,0.000102645227902596
7,0,2006,"medium",4950,360.855,0
8,0,2006,"medium",161224,11753.2296,0
9,2,2006,"medium",167063,12178.8927,1.19715316976231e-05
13,0,2006,"medium",63622,4638.0438,0
14,0,2006,"medium",63529,4631.2641,0
78,1,2006,"medium",395085,28801.6965,2.53110090233747e-06
80,0,2006,"medium",24089,1756.0881,0
81,0,2006,"medium",3296,240.2784,0
1,42,2006,"high",153160,11165.364,0.000274223034734918
4,1,2006,"high",17786,1296.5994,5.62239964016642e-05
5,8,2006,"high",590242,43028.6418,1.35537626939459e-05
6,123,2006,"high",496857,36220.8753,0.000247556137882731
7,0,2006,"high",4950,360.855,0
8,0,2006,"high",161224,11753.2296,0
9,110,2006,"high",167063,12178.8927,0.000658434243369268
13,0,2006,"high",63622,4638.0438,0
14,0,2006,"high",63529,4631.2641,0
78,0,2006,"high",395085,28801.6965,0
80,0,2006,"high",24089,1756.0881,0
81,0,2006,"high",3296,240.2784,0
