"zone","value","timestep","severity","forest","mortality"
1,2154,2005,"low",918960,0.00234395403499608
4,805,2005,"low",106716,0.00754338618388995
5,31807,2005,"low",3541452,0.00898134437513201
6,2471,2005,"low",2981142,0.000828876987409523
7,0,2005,"low",29700,0
8,901,2005,"low",967344,0.00093141633172894
9,11328,2005,"low",1002378,0.0113011259225562
13,157,2005,"low",381732,0.000411283308708728
14,42,2005,"low",381174,0.000110185899353051
78,5141,2005,"low",2370510,0.00216873162315282
80,279,2005,"low",144534,0.00193034164971564
81,0,2005,"low",19776,0
1,40,2005,"medium",918960,4.35274658309393e-05
4,180,2005,"medium",106716,0.00168671989204993
5,174,2005,"medium",3541452,4.91323897655538e-05
6,12,2005,"medium",2981142,4.02530305500375e-06
7,0,2005,"medium",29700,0
8,4,2005,"medium",967344,4.13503365917399e-06
9,89,2005,"medium",1002378,8.87888600907043e-05
13,0,2005,"medium",381732,0
14,0,2005,"medium",381174,0
78,25,2005,"medium",2370510,1.05462537597395e-05
80,0,2005,"medium",144534,0
81,0,2005,"medium",19776,0
1,0,2005,"high",918960,0
4,1,2005,"high",106716,9.37066606694404e-06
5,370,2005,"high",3541452,0.000104476920765833
6,0,2005,"high",2981142,0
7,0,2005,"high",29700,0
8,0,2005,"high",967344,0
9,2,2005,"high",1002378,1.99525528293718e-06
13,0,2005,"high",381732,0
14,0,2005,"high",381174,0
78,45,2005,"high",2370510,1.8983256767531e-05
80,0,2005,"high",144534,0
81,0,2005,"high",19776,0
1,2612,2006,"low",918960,0.00284234351876034
4,290,2006,"low",106716,0.00271749315941377
5,12190,2006,"low",3541452,0.00344209098415
6,2043,2006,"low",2981142,0.000685307845114389
7,0,2006,"low",29700,0
8,260,2006,"low",967344,0.000268777187846309
9,2470,2006,"low",1002378,0.00246414027442741
13,107,2006,"low",381732,0.000280301363260088
14,5,2006,"low",381174,1.31173689706014e-05
78,1652,2006,"low",2370510,0.000696896448443584
80,118,2006,"low",144534,0.00081641689844604
81,0,2006,"low",19776,0
1,109,2006,"medium",918960,0.00011861234438931
4,16,2006,"medium",106716,0.000149930657071105
5,1,2006,"medium",3541452,2.82370056123872e-07
6,51,2006,"medium",2981142,1.7107537983766e-05
7,0,2006,"medium",29700,0
8,0,2006,"medium",967344,0
9,2,2006,"medium",1002378,1.99525528293718e-06
13,0,2006,"medium",381732,0
14,0,2006,"medium",381174,0
78,1,2006,"medium",2370510,4.21850150389579e-07
80,0,2006,"medium",144534,0
81,0,2006,"medium",19776,0
1,42,2006,"high",918960,4.57038391224863e-05
4,1,2006,"high",106716,9.37066606694404e-06
5,8,2006,"high",3541452,2.25896044899098e-06
6,123,2006,"high",2981142,4.12593563137885e-05
7,0,2006,"high",29700,0
8,0,2006,"high",967344,0
9,110,2006,"high",1002378,0.000109739040561545
13,0,2006,"high",381732,0
14,0,2006,"high",381174,0
78,0,2006,"high",2370510,0
80,0,2006,"high",144534,0
81,0,2006,"high",19776,0
1,2904,2007,"low",918960,0.00316009401932619
4,404,2007,"low",106716,0.00378574909104539
5,7113,2007,"low",3541452,0.0020084982092091
6,1298,2007,"low",2981142,0.000435403613782906
7,0,2007,"low",29700,0
8,76,2007,"low",967344,7.85656395243057e-05
9,1782,2007,"low",1002378,0.00177777245709702
13,142,2007,"low",381732,0.000371988725074136
14,0,2007,"low",381174,0
78,1471,2007,"low",2370510,0.00062054157122307
80,46,2007,"low",144534,0.000318264214648456
81,0,2007,"low",19776,0
1,443,2007,"medium",918960,0.000482066684077653
4,0,2007,"medium",106716,0
5,119,2007,"medium",3541452,3.36020366787408e-05
6,210,2007,"medium",2981142,7.04428034625657e-05
7,0,2007,"medium",29700,0
8,2,2007,"medium",967344,2.06751682958699e-06
9,41,2007,"medium",1002378,4.09027333002121e-05
13,0,2007,"medium",381732,0
14,0,2007,"medium",381174,0
78,6,2007,"medium",2370510,2.53110090233747e-06
80,1,2007,"medium",144534,6.91878727496644e-06
81,0,2007,"medium",19776,0
1,359,2007,"high",918960,0.00039065900583268
4,0,2007,"high",106716,0
