"zone","value","timestep","severity","forest","km2","mortality"
1,7297,2016,"low",153160,11165.364,0.0476429877252546
4,1401,2016,"low",17786,1296.5994,0.0787698189587316
5,85849,2016,"low",590242,43028.6418,0.14544712168907
6,10985,2016,"low",496857,36220.8753,0.0221089770296081
7,1,2016,"low",4950,360.855,0.000202020202020202
8,4892,2016,"low",161224,11753.2296,0.0303428769910187
9,20030,2016,"low",167063,12178.8927,0.119894889951695
13,635,2016,"low",63622,4638.0438,0.00998082424318632
14,481,2016,"low",63529,4631.2641,0.0075713453698311
78,28384,2016,"low",395085,28801.6965,0.0718427680119468
80,377,2016,"low",24089,1756.0881,0.0156502968159741
81,0,2016,"low",3296,240.2784,0
1,12,2016,"medium",153160,11165.364,7.83494384956908e-05
4,52,2016,"medium",17786,1296.5994,0.00292364781288654
5,21932,2016,"medium",590242,43028.6418,0.0371576404254526
6,3528,2016,"medium",496857,36220.8753,0.00710063458902662
7,0,2016,"medium",4950,360.855,0
8,1134,2016,"medium",161224,11753.2296,0.00703369225425495
9,2515,2016,"medium",167063,12178.8927,0.015054201109761
13,183,2016,"medium",63622,4638.0438,0.00287636352205212
14,48,2016,"medium",63529,4631.2641,0.000755560452706638
78,79,2016,"medium",395085,28801.6965,0.00019995697128466
80,242,2016,"medium",24089,1756.0881,0.0100460791232513
81,0,2016,"medium",3296,240.2784,0
1,0,2016,"high",153160,11165.364,0
4,13,2016,"high",17786,1296.5994,0.000730911953221635
5,40349.0142402288,2016,"high",590242,43028.6418,0.068360120493338
6,6979.0049495518,2016,"high",496857,36220.8753,0.0140463049721586
7,3,2016,"high",4950,360.855,0.000606060606060606
8,767,2016,"high",161224,11753.2296,0.00475735622487967
9,944,2016,"high",167063,12178.8927,0.00565056296127808
13,22,2016,"high",63622,4638.0438,0.000345792335984408
14,17,2016,"high",63529,4631.2641,0.000267594327000268
78,23,2016,"high",395085,28801.6965,5.82153207537618e-05
80,0,2016,"high",24089,1756.0881,0
81,0,2016,"high",3296,240.2784,0
