"zone","value","timestep","severity","forest","km2","mortality"
1,5381,2015,"low",153160,11165.364,0.0351331940454427
4,1365,2015,"low",17786,1296.5994,0.0767457550882717
5,51110,2015,"low",590242,43028.6418,0.0865916014109467
6,11431,2015,"low",496857,36220.8753,0.023006619610874
7,9,2015,"low",4950,360.855,0.00181818181818182
8,8940,2015,"low",161224,11753.2296,0.0554508013695232
9,10355,2015,"low",167063,12178.8927,0.0619826053644434
13,219,2015,"low",63622,4638.0438,0.00344220552639024
14,765,2015,"low",63529,4631.2641,0.012041744715012
78,16316,2015,"low",395085,28801.6965,0.0412974423225382
80,560,2015,"low",24089,1756.0881,0.0232471252438873
81,1,2015,"low",3296,240.2784,0.000303398058252427
1,328,2015,"medium",153160,11165.364,0.00214155131888221
4,222,2015,"medium",17786,1296.5994,0.0124817272011695
5,14550,2015,"medium",590242,43028.6418,0.0246509058996141
6,2412,2015,"medium",496857,36220.8753,0.00485451548433453
7,0,2015,"medium",4950,360.855,0
8,3172,2015,"medium",161224,11753.2296,0.0196744901503498
9,1428,2015,"medium",167063,12178.8927,0.00854767363210286
13,28,2015,"medium",63622,4638.0438,0.000440099336707428
14,1145,2015,"medium",63529,4631.2641,0.0180232649656063
78,625,2015,"medium",395085,28801.6965,0.00158193806396092
80,20,2015,"medium",24089,1756.0881,0.000830254472995973
81,0,2015,"medium",3296,240.2784,0
1,69.0174024022,2015,"high",153160,11165.364,0.000450622893720292
4,0,2015,"high",17786,1296.5994,0
5,55024.4160165416,2015,"high",590242,43028.6418,0.0932234846326449
6,10614.3161761035,2015,"high",496857,36220.8753,0.0213629196652226
7,0,2015,"high",4950,360.855,0
8,25624.3112073915,2015,"high",161224,11753.2296,0.15893608400357
9,9426.3020234676,2015,"high",167063,12178.8927,0.0564236367326554
13,0,2015,"high",63622,4638.0438,0
14,1514.0257437488,2015,"high",63529,4631.2641,0.0238320411740906
78,1545.1315136048,2015,"high",395085,28801.6965,0.00391088376831517
80,324.0050366739,2015,"high",24089,1756.0881,0.0134503315485865
81,0,2015,"high",3296,240.2784,0
