"zone","value","timestep","severity","forest","km2","mortality"
1,1272,2014,"low",153160,11165.364,0.00830504048054322
4,1034,2014,"low",17786,1296.5994,0.0581356122793208
5,23287,2014,"low",590242,43028.6418,0.0394533089817397
6,3651,2014,"low",496857,36220.8753,0.00734819072690935
7,63,2014,"low",4950,360.855,0.0127272727272727
8,2147,2014,"low",161224,11753.2296,0.0133168758993698
9,6274,2014,"low",167063,12178.8927,0.0375546949354435
13,1031,2014,"low",63622,4638.0438,0.0162050862909057
14,192,2014,"low",63529,4631.2641,0.00302224181082655
78,7289,2014,"low",395085,28801.6965,0.0184491944771378
80,176,2014,"low",24089,1756.0881,0.00730623936236456
81,0,2014,"low",3296,240.2784,0
1,10,2014,"medium",153160,11165.364,6.5291198746409e-05
4,38,2014,"medium",17786,1296.5994,0.00213651186326324
5,823,2014,"medium",590242,43028.6418,0.00139434333713968
6,577,2014,"medium",496857,36220.8753,0.00116129993136858
7,12,2014,"medium",4950,360.855,0.00242424242424242
8,356,2014,"medium",161224,11753.2296,0.00220810797399891
9,224,2014,"medium",167063,12178.8927,0.00134081155013378
13,97,2014,"medium",63622,4638.0438,0.00152462984502216
14,23,2014,"medium",63529,4631.2641,0.000362039383588597
78,44,2014,"medium",395085,28801.6965,0.000111368439702849
80,8,2014,"medium",24089,1756.0881,0.000332101789198389
81,0,2014,"medium",3296,240.2784,0
1,1,2014,"high",153160,11165.364,6.5291198746409e-06
4,3,2014,"high",17786,1296.5994,0.000168671989204993
5,304,2014,"high",590242,43028.6418,0.000515042982369943
6,44,2014,"high",496857,36220.8753,8.85566672100826e-05
7,0,2014,"high",4950,360.855,0
8,107,2014,"high",161224,11753.2296,0.000663672902297425
9,1,2014,"high",167063,12178.8927,5.98576584881153e-06
13,0,2014,"high",63622,4638.0438,0
14,11,2014,"high",63529,4631.2641,0.000173149270411938
78,47,2014,"high",395085,28801.6965,0.000118961742409861
80,0,2014,"high",24089,1756.0881,0
81,0,2014,"high",3296,240.2784,0
