"zone","value","timestep","severity","forest","km2","mortality"
1,2154,2005,"low",153160,11165.364,0.0140637242099765
4,805,2005,"low",17786,1296.5994,0.0452603171033397
5,31818,2005,"low",590242,43028.6418,0.0539067026744962
6,2471,2005,"low",496857,36220.8753,0.00497326192445714
7,0,2005,"low",4950,360.855,0
8,901,2005,"low",161224,11753.2296,0.00558849799037364
9,11328,2005,"low",167063,12178.8927,0.067806755535337
13,239,2005,"low",63622,4638.0438,0.00375656219546698
14,42,2005,"low",63529,4631.2641,0.000661115396118308
78,5141,2005,"low",395085,28801.6965,0.0130123897389169
80,279,2005,"low",24089,1756.0881,0.0115820498982938
81,0,2005,"low",3296,240.2784,0
1,40,2005,"medium",153160,11165.364,0.000261164794985636
4,180,2005,"medium",17786,1296.5994,0.0101203193522996
5,174,2005,"medium",590242,43028.6418,0.000294794338593323
6,12,2005,"medium",496857,36220.8753,2.41518183300225e-05
7,0,2005,"medium",4950,360.855,0
8,4,2005,"medium",161224,11753.2296,2.48102019550439e-05
9,89,2005,"medium",167063,12178.8927,0.000532733160544226
13,0,2005,"medium",63622,4638.0438,0
14,0,2005,"medium",63529,4631.2641,0
78,25,2005,"medium",395085,28801.6965,6.32775225584368e-05
80,0,2005,"medium",24089,1756.0881,0
81,0,2005,"medium",3296,240.2784,0
1,0,2005,"high",153160,11165.364,0
4,1,2005,"high",17786,1296.5994,5.62239964016642e-05
5,370,2005,"high",590242,43028.6418,0.000626861524594997
6,0,2005,"high",496857,36220.8753,0
7,0,2005,"high",4950,360.855,0
8,0,2005,"high",161224,11753.2296,0
9,2,2005,"high",167063,12178.8927,1.19715316976231e-05
13,0,2005,"high",63622,4638.0438,0
14,0,2005,"high",63529,4631.2641,0
78,45,2005,"high",395085,28801.6965,0.000113899540605186
80,0,2005,"high",24089,1756.0881,0
81,0,2005,"high",3296,240.2784,0
